Date,GHG,CH4,CO2,F-Gas,N2O
1990,172.46,57.03,99.65,0.27,15.51
1991,183.95,59.53,108.04,0.46,15.92
1992,196.53,60.56,118.56,0.65,16.76
1993,214.4,60.59,135.01,0.83,17.97
1994,229.66,61.19,149.36,1.02,18.09
1995,248.12,61.53,167.85,1.21,17.53
1996,268.8,62.83,187.01,1.97,16.99
1997,278.53,66.44,192.91,2.73,16.45
1998,259.4,66.95,171.91,3.48,17.06
1999,270.73,68.55,180.44,4.24,17.5
2000,271.09,69.5,180.28,5.0,16.31
2001,237.0,70.05,144.9,5.37,16.68
2002,250.41,69.78,157.04,5.74,17.85
2003,260.81,73.34,161.8,6.11,19.56
2004,283.62,75.57,180.92,6.47,20.66
2005,291.18,76.84,188.25,6.84,19.25
2006,294.62,76.94,190.86,8.03,18.79
2007,311.96,82.23,198.08,9.21,22.44
2008,313.11,82.12,200.07,10.4,20.52
2009,309.78,84.12,190.95,11.59,23.12
2010,332.07,88.29,207.29,12.77,23.72
2011,364.34,86.47,238.89,16.28,22.7
2012,388.8,88.96,256.2,19.78,23.86
2013,397.96,87.14,264.6,23.29,22.93
2014,395.61,83.92,261.82,26.8,23.07
2015,398.44,78.8,268.75,30.3,20.59
2016,424.58,82.76,280.62,38.54,22.66
2017,433.14,82.16,279.84,46.77,24.37
2018,434.58,80.81,277.21,55.0,21.56
2019,451.56,79.1,287.21,63.24,22.01
2020,451.85,79.97,277.04,71.47,23.37
2021,449.51,81.82,269.11,76.46,22.12
